;fixture_id;date;season;league_id;league_name;league_logo;country_name;country_logo;home_team_id;home_team_name;home_team_img;away_team_id;away_team_name;away_team_img;home_goals;away_goals;home_shots_on_goal;home_shots_off_goal;home_total_shots;home_blocked_shots;home_shots_insidebox;home_shots_outsidebox;home_fouls;home_corner_kicks;home_offsides;home_ball_possession;home_yellow_cards;home_red_cards;home_goalkeeper_saves;home_total_passes;home_passes_accurate;home_passes_percentage;away_shots_on_goal;away_shots_off_goal;away_total_shots;away_blocked_shots;away_shots_insidebox;away_shots_outsidebox;away_fouls;away_corner_kicks;away_offsides;away_ball_possession;away_yellow_cards;away_red_cards;away_goalkeeper_saves;away_total_passes;away_passes_accurate;away_passes_percentage
2581;20745;2016-10-16T18:45:00+00:00;2016;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2016;533;Villarreal;https://media-2.api-sports.io/football/teams/533.png;538;Celta Vigo;https://media-3.api-sports.io/football/teams/538.png;5;0;5;4;11;2;8;4;19;3;3;44%;1;;1;458;380;83%;1;3;4;;3;1;12;5;4;56%;6;1;1;568;477;84%
2582;20746;2016-10-16T16:30:00+00:00;2016;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2016;731;Sporting Gijon;https://media-2.api-sports.io/football/teams/731.png;532;Valencia;https://media-2.api-sports.io/football/teams/532.png;1;2;2;3;10;5;6;4;21;4;2;48%;5;;1;422;311;74%;3;3;7;1;5;2;11;4;;52%;1;;1;457;368;81%
2583;20747;2016-10-16T14:15:00+00:00;2016;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2016;531;Athletic Club;https://media-1.api-sports.io/football/teams/531.png;548;Real Sociedad;https://media-2.api-sports.io/football/teams/548.png;3;2;11;3;15;1;8;7;17;7;4;47%;3;;1;320;227;71%;3;1;6;2;4;2;19;4;3;53%;3;;8;378;273;72%
2584;20748;2016-10-16T10:00:00+00:00;2016;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2016;542;Alaves;https://media-1.api-sports.io/football/teams/542.png;535;Malaga;https://media-2.api-sports.io/football/teams/535.png;1;1;4;3;8;1;5;3;14;6;5;44%;3;1;4;370;279;75%;5;2;12;5;5;7;14;6;1;56%;5;1;3;457;359;79%
2585;20749;2016-10-15T18:45:00+00:00;2016;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2016;543;Real Betis;https://media-2.api-sports.io/football/teams/543.png;541;Real Madrid;https://media-3.api-sports.io/football/teams/541.png;1;6;2;6;13;5;9;4;14;2;;48%;4;;3;510;446;87%;9;9;22;4;16;6;8;5;1;52%;1;;1;535;473;88%
2586;20750;2016-10-15T16:30:00+00:00;2016;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2016;530;Atletico Madrid;https://media-1.api-sports.io/football/teams/530.png;715;Granada CF;https://media-1.api-sports.io/football/teams/715.png;7;1;11;3;17;3;14;3;14;11;4;65%;1;;1;632;552;87%;2;5;9;2;2;7;7;3;;35%;1;;4;332;253;76%
2587;20751;2016-10-15T14:15:00+00:00;2016;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2016;529;Barcelona;https://media-3.api-sports.io/football/teams/529.png;544;Deportivo La Coruna;https://media-1.api-sports.io/football/teams/544.png;4;0;8;12;25;5;16;9;5;8;3;70%;1;;;665;588;88%;;4;7;3;3;4;15;2;1;30%;2;1;4;271;202;75%
2588;20752;2016-10-15T11:00:00+00:00;2016;140;La Liga;https://media-2.api-sports.io/football/leagues/140.png;Spain;2016;537;Leganes;https://media-2.api-sports.io/football/teams/537.png;536;Sevilla;https://media-2.api-sports.io/football/teams/536.png;2;3;6;6;19;7;8;11;17;5;2;41%;2;;1;335;250;75%;4;;5;1;3;2;20;2;5;59%;5;;4;497;395;79%
2589;20753;2016-10-14T18:45:00+00:00;2016;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2016;534;Las Palmas;https://media-3.api-sports.io/football/teams/534.png;540;Espanyol;https://media-1.api-sports.io/football/teams/540.png;0;0;8;4;13;1;5;8;13;8;2;67%;2;;2;646;572;89%;2;3;5;;3;2;21;4;5;33%;3;;8;309;228;74%
2590;20754;2016-10-02T18:45:00+00:00;2016;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2016;538;Celta Vigo;https://media-1.api-sports.io/football/teams/538.png;529;Barcelona;https://media-2.api-sports.io/football/teams/529.png;4;3;9;4;14;1;9;6;16;3;;34%;1;;1;277;186;67%;4;5;13;4;7;6;11;6;2;66%;3;;6;508;412;81%
2591;20755;2016-10-02T16:30:00+00:00;2016;140;La Liga;https://media-1.api-sports.io/football/leagues/140.png;Spain;2016;540;Espanyol;https://media-1.api-sports.io/football/teams/540.png;533;Villarreal;https://media-3.api-sports.io/football/teams/533.png;0;0;1;4;8;3;5;3;13;3;3;40%;2;;1;387;302;78%;1;4;5;;4;1;9;1;3;60%;2;;1;578;500;87%
2592;20756;2016-10-02T16:30:00+00:00;2016;140;La Liga;https://media-3.api-sports.io/football/leagues/140.png;Spain;2016;535;Malaga;https://media-3.api-sports.io/football/teams/535.png;531;Athletic Club;https://media-1.api-sports.io/football/teams/531.png;2;1;3;9;15;3;10;5;19;7;2;60%;9;1;;463;359;78%;1;4;7;2;1;6;11;2;5;40%;3;1;1;312;192;62%
